gene	SRR5575407	SRR5575408	SRR5575409	SRR5575410	SRR5575413	SRR5575598	SRR5575599	SRR5575605	SRR5575606	SRR7716235	SRR7716244	SRR7716245	SRR7716246	SRR7716247
SRR5575407_k141_107192_1	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
SRR5575407_k141_107194_2	18.0	0.0	20.0	38.0	0.0	0.0	0.0	43.0	15.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107194_3	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107194_4	7.0	0.0	8.0	23.0	0.0	0.0	0.0	31.0	9.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107197_1	226.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
SRR5575407_k141_107201_4	148.0	0.0	55.0	558.0	2.0	0.0	0.0	378.0	41.0	58.0	0.0	0.0	440.0	24.0
SRR5575407_k141_107201_5	92.0	2.0	33.0	291.0	0.0	2.0	0.0	195.0	14.0	30.0	0.0	0.0	238.0	27.0
SRR5575407_k141_107201_6	152.0	0.0	54.0	518.0	0.0	2.0	0.0	309.0	28.0	31.0	0.0	0.0	365.0	37.0
SRR5575407_k141_107202_1	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	5.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107202_2	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107203_1	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0
SRR5575407_k141_107203_2	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107204_1	66.0	0.0	2.0	16.0	2.0	121.0	0.0	199.0	0.0	0.0	5.0	0.0	100.0	0.0
SRR5575407_k141_107204_11	95.0	0.0	25.0	5.0	0.0	76.0	0.0	126.0	3.0	0.0	6.0	0.0	179.0	2.0
SRR5575407_k141_107204_2	61.0	0.0	28.0	0.0	2.0	43.0	0.0	218.0	2.0	0.0	6.0	0.0	174.0	12.0
SRR5575407_k141_107204_3	14.0	0.0	19.0	4.0	0.0	32.0	0.0	57.0	0.0	0.0	3.0	0.0	69.0	7.0
SRR5575407_k141_107204_4	55.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	10.0	0.0	0.0	9.0
SRR5575407_k141_107204_6	194.0	0.0	86.0	55.0	4.0	325.0	0.0	535.0	10.0	0.0	33.0	0.0	540.0	29.0
SRR5575407_k141_107204_7	89.0	0.0	31.0	14.0	0.0	146.0	0.0	236.0	0.0	0.0	10.0	0.0	258.0	15.0
SRR5575407_k141_107204_8	281.0	0.0	50.0	27.0	8.0	225.0	0.0	376.0	4.0	0.0	19.0	0.0	535.0	23.0
SRR5575407_k141_107204_9	53.0	0.0	15.0	8.0	0.0	58.0	0.0	4.0	0.0	0.0	3.0	0.0	68.0	7.0
SRR5575407_k141_107208_2	9.0	0.0	15.0	34.0	0.0	0.0	0.0	7.0	0.0	6.0	0.0	0.0	15.0	28.0
SRR5575407_k141_107208_3	21.0	2.0	39.0	48.0	0.0	0.0	0.0	23.0	0.0	13.0	0.0	0.0	28.0	54.0
SRR5575407_k141_107209_1	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107209_2	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107211_1	22.0	0.0	4.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
SRR5575407_k141_107212_2	372.0	0.0	790.0	0.0	0.0	0.0	0.0	97.0	65.0	0.0	24.0	0.0	4.0	0.0
SRR5575407_k141_107212_3	348.0	0.0	1273.0	0.0	0.0	0.0	0.0	108.0	78.0	0.0	58.0	0.0	0.0	0.0
SRR5575407_k141_107213_1	35.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	5.0	7.0	0.0	6.0	0.0
SRR5575407_k141_107218_1	2142.0	0.0	1313.0	1927.0	25.0	339.0	0.0	815.0	13.0	857.0	543.0	0.0	1650.0	361.0
SRR5575407_k141_107218_2	1356.0	3.0	28.0	59.0	0.0	518.0	22.0	46.0	0.0	701.0	284.0	3.0	638.0	256.0
SRR5575407_k141_107218_3	2223.0	0.0	1344.0	2075.0	18.0	399.0	2.0	842.0	11.0	863.0	487.0	0.0	1643.0	391.0
SRR5575407_k141_10721_10	168.0	0.0	474.0	0.0	0.0	0.0	0.0	137.0	40.0	0.0	0.0	0.0	67.0	0.0
SRR5575407_k141_10721_11	484.0	0.0	688.0	4.0	0.0	2.0	0.0	240.0	90.0	0.0	3.0	0.0	115.0	2.0
SRR5575407_k141_10721_12	179.0	0.0	534.0	0.0	0.0	0.0	0.0	122.0	56.0	0.0	2.0	0.0	66.0	0.0
SRR5575407_k141_10721_14	220.0	0.0	540.0	0.0	0.0	0.0	0.0	142.0	79.0	0.0	0.0	0.0	68.0	0.0
SRR5575407_k141_10721_15	101.0	0.0	312.0	0.0	0.0	2.0	0.0	49.0	24.0	0.0	2.0	0.0	35.0	0.0
SRR5575407_k141_10721_3	238.0	0.0	666.0	0.0	0.0	0.0	0.0	181.0	40.0	0.0	0.0	0.0	79.0	0.0
SRR5575407_k141_10721_4	683.0	0.0	1383.0	0.0	0.0	0.0	0.0	448.0	88.0	0.0	0.0	0.0	115.0	0.0
SRR5575407_k141_10721_5	144.0	0.0	336.0	0.0	0.0	0.0	0.0	122.0	20.0	0.0	0.0	0.0	26.0	0.0
SRR5575407_k141_10721_7	24.0	0.0	85.0	0.0	0.0	0.0	0.0	25.0	7.0	0.0	0.0	0.0	8.0	0.0
SRR5575407_k141_10721_8	106.0	0.0	308.0	0.0	0.0	0.0	0.0	86.0	10.0	0.0	0.0	0.0	45.0	0.0
SRR5575407_k141_107220_1	848.0	0.0	443.0	783.0	11.0	165.0	0.0	382.0	6.0	357.0	224.0	0.0	615.0	135.0
SRR5575407_k141_107220_2	715.0	0.0	335.0	663.0	12.0	126.0	0.0	311.0	14.0	307.0	172.0	0.0	530.0	142.0
